嚜燕ostDate,Stockcode,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2018/12/12,000063,1,2678,6,0,0,4.39,3,2826,306,C39,,
2018/12/15,000063,1,1979,3,1,1,2.76,2.5,217,343,C39,,
2018/12/17,000063,1,8840,44,44,0,1.54,2.5,118,379,C39,,
2018/12/18,000063,2,3551.5,10,3,4.5,1.85,2.75,871.5,368.5,C39,,
2018/12/19,000063,2,3116.5,4,0,1,7.41,3.25,601,293.5,C39,,
2018/12/22,000063,1,2013,1,0,0,4.44,2.5,1020,310,C39,,
2018/12/23,000063,1,5183,8,0,4,2.03,3,401,391,C39,,
2018/12/27,000063,2,3688,8,0.5,4.5,2.48,3.25,1516.5,349,C39,,
2018/8/15,000063,1,4037,11,0,1,4.23,3.5,1268,367,C39,,
2018/8/16,000063,2,6028,9,0.5,0,3.5,3,1006.5,212,C39,,
2018/3/4,000063,1,130018,190,28,19,1.52,2.5,1335,307,C39,,
2018/3/7,000063,1,102048,34,7,3,1.52,3,1774,312,C39,,
2018/4/19,000063,1,2318,3,2,0,3.02,2.5,69,261,C39,,
2018/4/6,000063,2,38438,32.5,6.5,8,2.18,3.5,6440.5,372,C39,,
2018/3/12,000063,1,60785,166,9,12,2.16,4,2168,301,C39,,
2018/8/2,000063,1,904,1,1,0,0.77,2.5,823,59,C39,,
2018/7/29,000063,3,11865,7,4.33,2,2.94,3.5,2222,11414.5,C39,,
2018/7/20,000063,1,28334,36,32,11,0.78,2.5,183,397,C39,,
2018/7/18,000063,2,608,1,1,0,0.73,2.5,823,59,C39,,
2018/7/16,000063,1,1052,2,2,0,0.72,2.5,823,59,C39,,
2018/7/15,000063,3,9498,20.33,13.33,2.33,2.96,3.5,4041,6546.67,C39,,
2018/7/14,000063,3,16571.67,7.33,3.67,5.33,0.16,3.17,3925.33,899.67,C39,,
2018/7/13,000063,1,37989,52,24,19,1.46,3.5,844,15099,C39,,
2018/7/11,000063,1,37961,3,3,0,6.07,2.5,673,946,C39,,
2018/7/10,000063,1,884,2,0,1,4.87,3.5,1097,357,C39,,
2018/7/9,000063,1,35343,2,1,2,1.86,3.5,4006,17095,C39,,
2018/7/6,000063,1,520612,140,140,77,5.28,4.5,5600,0,C39,,
