Stkcd,Accper,Indcd
000421,2017/3/31,D45
000421,2017/6/30,D45
000421,2017/9/30,D45
000421,2017/12/31,D45
000422,2017/3/31,C26
000422,2017/6/30,C26
000422,2017/9/30,C26
000422,2017/12/31,C26
000423,2017/3/31,C27
000423,2017/6/30,C27
000423,2017/9/30,C27
000423,2017/12/31,C27
000425,2017/3/31,C35
000425,2017/6/30,C35
000425,2017/9/30,C35
000425,2017/12/31,C35
000426,2017/3/31,B09
000426,2017/6/30,B09
000426,2017/9/30,B09
000426,2017/12/31,B09
000428,2017/3/31,H61
000428,2017/6/30,H61
000428,2017/9/30,H61
000428,2017/12/31,H61
000429,2017/3/31,G54
000429,2017/6/30,G54
000429,2017/9/30,G54
000429,2017/12/31,G54
000430,2017/3/31,N78
000430,2017/6/30,N78
000430,2017/9/30,N78
000430,2017/12/31,N78
000488,2017/3/31,C22
000488,2017/6/30,C22
000488,2017/9/30,C22
000488,2017/12/31,C22
000498,2017/3/31,E48
000498,2017/6/30,E48
000498,2017/9/30,E48
000498,2017/12/31,E48
000501,2017/3/31,F52
000501,2017/6/30,F52
000501,2017/9/30,F52
000501,2017/12/31,F52
000502,2017/3/31,K70
000502,2017/6/30,K70
000502,2017/9/30,K70
000502,2017/12/31,K70
000503,2017/3/31,I64
000503,2017/12/31,I64
000504,2017/3/31,R85
000504,2017/6/30,R85
000504,2017/12/31,R85
000505,2017/3/31,K70
000505,2017/6/30,K70
000505,2017/9/30,K70
000505,2017/12/31,K70
000506,2017/3/31,B09
000506,2017/12/31,B09
000507,2017/3/31,G55
000507,2017/6/30,G55
000507,2017/9/30,G55
000507,2017/12/31,G55
000509,2017/3/31,C29
000509,2017/6/30,C29
000510,2017/3/31,C26
000510,2017/6/30,C26
000510,2017/9/30,C26
000510,2017/12/31,C26
000511,2017/3/31,C30
000513,2017/3/31,C27
000513,2017/6/30,C27
000513,2017/9/30,C27
000513,2017/12/31,C27
000514,2017/3/31,K70
000514,2017/6/30,K70
000514,2017/9/30,K70
000514,2017/12/31,K70
000516,2017/6/30,F52
000516,2017/9/30,F52
000516,2017/12/31,F52
000517,2017/3/31,K70
000517,2017/6/30,K70
000517,2017/9/30,K70
000517,2017/12/31,K70
000518,2017/3/31,C27
000518,2017/6/30,C27
000518,2017/9/30,C27
000518,2017/12/31,C27
