Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
002275,2019-12-31,0.67
002276,2019-12-31,0.21
002277,2019-12-31,0.227
002279,2019-12-31,0.0735
002280,2019-12-31,-1.49
002281,2019-12-31,0.55
002282,2019-12-31,0.16
002283,2019-12-31,0.31
002284,2019-12-31,-0.13
002285,2019-12-31,0.04
002287,2019-12-31,0.6893
002288,2019-12-31,0.0199
002291,2019-12-31,0.24
002292,2019-12-31,0.09
002293,2019-12-31,0.6599
002294,2019-12-31,0.68
002295,2019-12-31,0.2
002296,2019-12-31,0.178
002297,2019-12-31,-0.347
002298,2019-12-31,0.4258
002299,2019-12-31,3.3019
002301,2019-12-31,0.35
002302,2019-12-31,0.52
002303,2019-12-31,0.3496
002304,2019-12-31,4.8991
002305,2019-12-31,-0.21
002307,2019-12-31,0.06
002308,2019-12-31,-1.37
002309,2019-12-31,0.06
002310,2019-12-31,0.02
002311,2019-12-31,1.06
002312,2019-12-31,0.0622
002313,2019-12-31,0.25
002314,2019-12-31,0.15
002315,2019-12-31,0.64
002316,2019-12-31,-0.3774
002317,2019-12-31,0.39
002318,2019-12-31,0.59
002320,2019-12-31,0.2212
002321,2019-12-31,-0.0979
002322,2019-12-31,0.84
002324,2019-12-31,0.3122
002325,2019-12-31,0.0292
002326,2019-12-31,0.31
002327,2019-12-31,0.61
002329,2019-12-31,0.06
002330,2019-12-31,0.016
002331,2019-12-31,0.4091
002332,2019-12-31,0.45
002334,2019-12-31,-0.3949
002335,2019-12-31,0.76
002338,2019-12-31,0.2
002339,2019-12-31,0.1
002340,2019-12-31,0.18
002341,2019-12-31,0.0086
002342,2019-12-31,0.019
002343,2019-12-31,0.35
002344,2019-12-31,0.22
002345,2019-12-31,0.09
002348,2019-12-31,-0.3473
002350,2019-12-31,0.1713
002351,2019-12-31,0.21
002352,2019-12-31,1.32
002353,2019-12-31,1.42
002354,2019-12-31,-1.2849
002355,2019-12-31,0.02
002356,2019-12-31,-3.5591
002357,2019-12-31,0.2672
002358,2019-12-31,0.01
002359,2019-12-31,-2.24
002361,2019-12-31,0.15
002362,2019-12-31,0.1725
002364,2019-12-31,0.14
002365,2019-12-31,0.3109
002366,2019-12-31,-0.74
002367,2019-12-31,0.3173
002368,2019-12-31,0.8124
002369,2019-12-31,0.08
002370,2019-12-31,-3.86
002371,2019-12-31,0.6708
002372,2019-12-31,0.63
002373,2019-12-31,0.69
002374,2019-12-31,0.04
002375,2019-12-31,0.32
002376,2019-12-31,0.48
002377,2019-12-31,0.3347
002378,2019-12-31,-0.31
002380,2019-12-31,0.53
002381,2019-12-31,0.6
002382,2019-12-31,0.51
002383,2019-12-31,-1.4401
002384,2019-12-31,0.44
002385,2019-12-31,0.12
002386,2019-12-31,0.1009
002387,2019-12-31,0.0468
002389,2019-12-31,0.25
002390,2019-12-31,0.15
002391,2019-12-31,0.693
002392,2019-12-31,0.35
002394,2019-12-31,1.18
002395,2019-12-31,0.1694
002396,2019-12-31,1.0481
002397,2019-12-31,0.11
002398,2019-12-31,0.58
002399,2019-12-31,0.8494
002400,2019-12-31,0.09
002402,2019-12-31,0.3582
002403,2019-12-31,0.37
002404,2019-12-31,0.27
002405,2019-12-31,0.1759
002406,2019-12-31,0.49
002407,2019-12-31,-0.61
002408,2019-12-31,0.35
002409,2019-12-31,0.6323
002410,2019-12-31,0.2087
002411,2019-12-31,0.2315
002412,2019-12-31,0.3227
002413,2019-12-31,0.13
