嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-07-14,000768,1,18102,47,44,3,0.25,2,2889,330,C37,,
2017-10-10,000768,1,4850,30,27,0,0.15,2,155,314,C37,,
2017-11-18,000778,1,29893,79,15,5,1.35,1.5,153,307,C33,,
2017-07-27,000785,1,20600,28,28,17,2.18,1,11,16,F52,,
2017-11-29,000792,2,1572,1,1,1,2.59,2,692,307,C26,,
2017-09-25,000792,1,1337300,2574,894,130,0.5,2,163,399,C26,,
2017-10-25,000792,1,27959,38,5,1,0.25,1,5,323,C26,,
2017-10-12,000792,1,1301,2,1,0,1.13,2,111,347,C26,,
2017-11-09,000799,1,184882,413,8,16,0.44,1.5,15,385,C15,,
2017-09-26,000800,1,885,1,1,1,0.13,1,5,1,C36,,
2017-10-09,000800,1,8400,16,14,5,1.34,1.5,73,388,C36,,
2017-11-21,000807,1,12467,10,1,2,0.7,2,37,269,C32,,
2017-09-25,000813,1,7486,14,11,1,11.07,2,117,306,C27,,
2017-11-23,000822,1,96304,319,298,19,1.67,1.5,11,371,C26,,
2017-01-12,000825,1,1301,1,1,1,1.82,1.5,13,383,C31,,
2017-03-24,000835,1,3985,26,13,0,0.2,2,110,394,I64,,
2017-08-16,000839,1,31797,29,27,0,0.33,1.5,26,95,I63,,
2017-09-11,000839,1,4782,2,0,1,1.1,2,105,329,I63,,
2017-11-16,000839,1,5591,8,6,4,0.17,1,11,46,I63,,
2017-12-29,000839,1,3971,1,1,0,3.79,1.5,82,314,I63,,
2017-12-20,000839,1,11383,9,7,3,0.07,2,32,29,I63,,
2017-03-27,000839,1,74026,97,59,32,1.01,2,93,260,I63,,
2017-03-29,000848,1,3066,2,0,2,0.12,1,5,252,C15,,
2017-12-27,000851,1,13232,1,1,0,0.61,2,333,0,F52,,
2017-09-11,000851,1,3349,1,1,0,0.32,2,342,0,F52,,
2017-05-24,000852,1,4432,5,0,2,2.25,2,233,36,C35,,
2017-05-20,000852,1,2412,3,0,1,0.17,1.5,58,11,C35,,
2017-05-08,000852,1,3363,2,0,1,1.8,1.5,93,69,C35,,
2017-04-17,000852,1,21749,9,0,3,0.03,2,50,1,C35,,
2017-11-10,000858,1,3969,10,0,0,0.57,0,1057,345,C15,,
2017-12-20,000858,1,9795,10,6,2,2.49,1.5,132,299,C15,,
2017-06-28,000858,1,16134,20,7,2,0.7,2,430,317,C15,,
2017-06-12,000858,1,7133,23,3,3,0.1,2,29,307,C15,,
2017-04-15,000858,1,8734,33,2,1,0.28,2,51,338,C15,,
2017-12-27,000860,1,605546,1134,1134,44,0.66,2,98,39,C15,,
2017-06-29,000877,1,5784,11,10,4,1.22,2,201,379,C30,,
2017-07-24,000882,1,37927,72,24,14,1.84,2,57,305,L72,,
2017-11-28,000883,1,105861,190,79,36,1.52,0,15,312,D44,,
2017-12-11,000885,1,3403,4,0,0,3.04,1.5,33,351,C30,,
2017-05-05,000885,1,9304,4,4,6,0.21,1.5,25,90,C30,,
2017-07-13,000886,1,78118,164,35,56,0.87,1,127,307,K70,,
2017-07-18,000886,1,78861,145,19,37,0.88,1,127,307,K70,,
2017-08-16,000886,1,11447,2,1,1,3.78,1,7,12,K70,,
2017-07-20,000890,1,3229,10,6,1,0.05,1,23,71,C33,,
2017-08-31,000892,1,4809,4,2,0,3.6,1.5,142,328,R86,,
2017-12-08,000900,1,122327,232,224,24,0.03,1.5,13,91,G54,,
2017-10-18,000902,1,1877,2,1,0,0.95,1,20,9,C26,,
2017-10-24,000902,1,22671,51,49,1,0.75,2,6,8,C26,,
2017-09-11,000903,1,2723,2,2,0,0.32,2,116,0,C34,,
2017-12-07,000916,1,9311,6,6,2,0.7,2,89,16,G54,,
2017-10-30,000917,1,28950,46,26,5,0,1,2,27,I63,,
2017-10-15,000917,1,18588,7,3,0,2.33,1.5,21,79,I63,,
2017-11-29,000917,1,62246,76,50,21,0.2,2,128,318,I63,,
2017-06-09,000917,1,2768,2,0,3,3.05,1,43,366,I63,,
2017-05-17,000917,1,3349,3,2,2,2.99,1,43,366,I63,,
2017-11-22,000918,1,48007,92,0,4,2.41,1.5,33,151,K70,,
2017-12-22,000918,1,1645,1,0,0,0.82,2,82,70,K70,,
2017-12-01,000918,1,133832,188,165,32,0.01,1.5,1,29,K70,,
2017-06-21,000918,1,28186,19,0,13,1.87,1,81,340,K70,,
2017-12-06,000919,1,42752,80,13,6,3.55,1,43,366,C27,,
2017-12-08,000919,1,7946,12,12,3,5.8,1,102,6,C27,,
2017-10-19,000922,1,6063,2,2,0,9.48,2,90,311,C38,,
2017-10-16,000922,1,1413,4,4,1,2.33,1,27,344,C38,,
2017-10-03,000922,1,14147,31,16,7,0.04,2,53,325,C38,,
2017-06-15,000926,1,8938,14,7,4,0.52,1.5,41,317,K70,,
2017-03-24,000926,1,1077,6,4,0,1.45,1,6,391,K70,,
2017-10-19,000928,2,1193.5,0.5,0.5,0,1.9,1,142.5,41.5,E48,,
2017-10-12,000930,1,5699,11,3,3,9.33,2,9,357,C26,,
2017-11-23,000933,1,6897,8,3,2,0.02,2,102,364,C32,,
2017-10-20,000933,1,7220,7,2,4,6.12,1,46,353,C32,,
2017-10-24,000933,1,143012,74,32,19,2.39,1.5,205,327,C32,,
2017-09-10,000933,1,1610,0,0,2,1.73,0.5,8,119,C32,,
2017-04-02,000936,1,2961,1,1,0,3.33,1,33,38,C28,,
2017-04-16,000936,1,2191,1,1,0,3.37,1,33,38,C28,,
2017-12-02,000936,2,83492,41,9,11,1.41,2.25,38,209,C28,,
2017-03-06,000936,1,2976,2,2,0,3.26,1,33,38,C28,,
2017-08-26,000938,1,445129,629,294,26,0.14,2,7,361,C39,,
2017-07-10,000939,1,34118,6,6,9,2.42,1,3,0,D44,,
2017-12-11,000939,1,9702,8,4,0,3.07,1.5,22,109,D44,,
2017-03-07,000939,1,4153,4,4,2,3.77,1.5,30,16,D44,,
2017-12-30,000949,1,7376,3,3,2,3.39,2,282,354,C28,,
2017-10-26,000949,1,3594,10,8,0,0.33,2,44,390,C28,,
2017-12-20,000949,1,3363,6,5,0,0.48,2,44,393,C28,,
2017-07-21,000949,1,2836,1,1,1,0.06,2,44,390,C28,,
2017-09-01,000949,1,5281,6,4,0,0.18,2,44,390,C28,,
2017-07-14,000951,1,3338,7,2,2,9.46,0.5,5,123,C36,,
2017-12-26,000958,1,9891,20,10,3,4.46,2,25,319,D44,,
2017-04-06,000958,1,1692,3,2,1,1.87,2,114,55,D44,,
2017-12-11,000960,1,20010,35,4,4,3.75,2,115,389,C32,,
2017-10-09,000965,1,6479,11,11,0,4.13,2,54,22,K70,,
2017-09-25,000965,1,8146,22,12,7,3.23,2,49,196,K70,,
2017-09-27,000965,1,14451,7,5,2,0,1,4,37,K70,,
2017-09-21,000965,1,2396,1,1,1,7.81,2,653,380,K70,,
2017-06-22,000965,1,4104,9,9,6,2.01,2,84,3,K70,,
2017-03-18,000968,1,71921,69,22,23,0.25,2,98,335,B07,,
2017-10-28,000969,1,4001,4,3,0,0.03,0.5,2,217,C33,,
2017-12-22,000969,1,2804,1,1,1,3.1,2,84,385,C33,,
2017-09-07,000970,1,2074,0,0,0,10.36,0,15,10,C39,,
2017-04-19,000971,1,2958,4,3,0,2.07,1.5,130,324,I65,,
2017-10-19,000977,1,5084,1,1,0,0.42,2,229,0,C39,,
2017-12-14,000977,1,16487,3,3,2,1.84,1.5,336,318,C39,,
2017-03-17,000977,1,5131,3,2,2,1.21,0.5,2,66,C39,,
2017-03-16,000977,1,15129,26,17,4,1.99,2,112,341,C39,,
2017-10-27,000979,1,3744,6,6,1,2.73,0,176,309,K70,,
2017-10-17,000979,1,261234,4327,3944,26,0,1.5,3,379,K70,,
2017-09-07,000979,1,9692,7,6,0,1.74,1.5,22,88,K70,,
2017-04-26,000979,1,14004,36,30,5,0.65,2,233,394,K70,,
2017-01-18,000979,1,10926,3,3,0,4.08,1,30,6,K70,,
2017-11-17,000980,1,12222,19,0,3,0.39,0,526,354,C36,,
2017-08-25,000983,1,2181,1,0,1,2.35,2,61,380,B06,,
2017-09-10,000983,1,2936,3,0,1,2.39,2,61,380,B06,,
2017-06-23,000993,1,5462,5,5,2,0.1,1.5,59,0,D44,,
2017-04-27,000993,1,106178,59,59,15,0.81,1.5,7,390,D44,,
2017-12-29,000997,1,11786,17,17,6,4.62,2,584,322,I65,,
2017-02-21,001696,1,3452,2,1,1,3.94,1.5,11,144,C37,,
2017-07-17,002001,1,2,0,0,0,0.87,2,46,9,C27,,
2017-05-23,002001,1,3,0,0,0,1.48,2,115,101,C27,,
2017-05-04,002001,1,115030,140,27,47,0.19,2,130,369,C27,,
2017-09-07,002002,1,1326,1,0,0,7.41,1.5,31,21,C26,,
2017-09-19,002002,1,2578,2,0,2,2.29,1.5,183,78,C26,,
2017-09-26,002002,1,1241,0,0,0,0.04,1,28,0,C26,,
2017-10-06,002002,1,11937,3,0,1,2.39,2,47,329,C26,,
2017-10-31,002002,1,6657,19,18,10,0.23,1,11,8,C26,,
2017-12-07,002002,1,35419,22,6,5,3,2,125,177,C26,,
2017-04-10,002005,1,28240,76,69,44,0.36,0,88,146,C38,,
