嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-07-17,000677,1,5445,6,6,1,5.87,3.5,476,311,C28,,
2017-12-01,000677,1,8626,20,13,2,1.53,2.5,13,318,C28,,
2017-08-16,000677,1,4069,3,3,0,5.95,3.5,476,311,C28,,
2017-09-08,000677,1,14680,39,18,8,3.2,3.5,243,337,C28,,
2017-05-08,000678,1,190230,330,327,74,2.73,2,5,4,C34,,
2017-04-15,000680,2,22249,27,10,23,2.96,3.5,332,390,C35,,
2017-04-12,000680,1,22535,34,14,11,3.62,3.5,201,352,C35,,
2017-09-05,000680,1,7116,11,9,5,4.02,3.5,201,352,C35,,
2017-08-28,000680,1,124972,795,792,27,4,3.5,201,352,C35,,
2017-07-03,000690,1,13200,6,6,1,4.27,0,2639,0,D44,,
2017-11-28,000691,1,25735,17,17,16,4.68,3,777,0,K70,,
2017-04-25,000701,1,3427,4,2,6,2.94,4,1205,348,F51,,
2017-11-16,000701,1,11738,12,2,4,0.22,4,1118,330,F51,,
2017-08-21,000702,1,1691,0,0,1,2.83,0,173,337,C13,,
2017-04-18,000713,1,29903,43,39,8,2.64,2,129,80,A05,,
2017-11-22,000720,1,4926,3,3,4,1.97,1.5,120,148,D44,,
2017-12-25,000737,1,23582,27,6,9,3.65,2.5,33,290,C26,,
2017-12-20,000751,1,34942,21,11,19,2.66,3,587,397,C32,,
2017-11-16,000755,1,3063,3,1,0,3.21,0,35,237,C26,,
2017-12-15,000760,1,31429,13,13,3,4.72,4,1761,0,C36,,
2017-12-11,000760,1,61705,89,74,6,2.61,3.5,439,349,C36,,
2017-10-17,000779,1,32992,6,6,3,4.56,3,307,0,C17,,
2017-11-09,000788,1,10273,49,0,18,0.06,2.5,176,325,C27,,
2017-10-26,000788,1,9615,2,2,0,0.44,2.5,346,0,C27,,
2017-10-12,000788,1,5354,19,0,11,0.28,4,550,239,C27,,
2017-08-11,000788,1,31978,28,0,4,1.1,2,260,375,C27,,
2017-11-26,000788,1,8388,9,5,4,3.53,1.5,36,163,C27,,
2017-11-29,000788,1,14415,67,61,23,0.01,2,40,344,C27,,
2017-12-02,000788,1,5278,3,1,2,3.54,1.5,27,109,C27,,
2017-12-15,000788,1,20459,24,20,7,4.94,3,1363,359,C27,,
2017-11-23,000793,3,61553,175.67,44,8.33,0.71,2.5,1401,306,R85,,
2017-03-15,000793,1,27608,16,9,4,2.27,2.5,221,374,R85,,
2017-02-21,000793,1,9791,12,8,2,3.09,2.5,284,377,R85,,
2017-07-07,000793,1,31121,19,19,8,4.28,4,3696,0,R85,,
2017-02-12,000793,1,3031,1,1,0,3.85,1,5,5,R85,,
2017-06-20,000798,1,5306,14,3,1,4.13,2,286,305,A04,,
2017-07-20,000798,1,7082,4,3,5,2.84,2,36,138,A04,,
2017-11-28,000798,1,4206,0,0,0,4.57,2,286,302,A04,,
2017-04-13,000803,1,29389,23,19,12,0.2,4,1124,303,C17,,
2017-04-14,000803,1,8175,16,11,0,4.32,3.5,709,362,C17,,
2017-12-13,000803,1,5024,2,2,0,4.72,3,900,0,C17,,
2017-12-14,000803,2,15632,7,6,6,6.23,2.75,552.5,192.5,C17,,
