嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-12-04,000606,2,11,0,0,0,4.69,4,1037,0,C27,,
2017-07-12,000606,1,27767,5,5,7,4.29,4,1037,0,C27,,
2017-11-15,000606,1,21892,5,5,1,4.64,4,1037,0,C27,,
2017-08-02,000607,1,32979,53,46,11,7.19,4,843,345,R85,,
2017-12-22,000625,1,133822,73,43,18,2.71,2.5,424,320,C36,,
2017-12-11,000625,1,17710,28,20,6,2.68,2.5,426,331,C36,,
2017-12-18,000625,1,7056,7,6,1,0.43,2.5,329,328,C36,,
2017-12-20,000625,1,161927,78,42,45,2.71,2.5,426,334,C36,,
2017-06-22,000625,1,58111,21,21,4,4.24,4,2011,0,C36,,
2017-07-17,000625,1,2126,1,0,3,0.43,2.5,399,374,C36,,
2017-08-04,000625,1,24080,58,34,11,0.63,3,253,307,C36,,
2017-12-01,000625,2,8956,13.5,12.5,1.5,0.38,2.5,329,328,C36,,
2017-12-08,000625,1,12820,38,32,8,2.41,2.5,1136,334,C36,,
2017-03-23,000625,1,12318,22,13,3,1.96,2.5,433,386,C36,,
2017-08-31,000630,1,64359,46,24,13,3.47,2.5,174,320,C32,,
2017-02-20,000630,1,23727,14,12,5,6.45,3.5,205,367,C32,,
2017-12-26,000636,1,251388,1946,990,39,2.44,2.5,476,341,C39,,
2017-12-19,000636,1,84070,48,48,17,4.73,3.5,311,0,C39,,
2017-12-10,000636,1,37803,113,99,6,4.7,3,531,349,C39,,
2017-04-21,000651,1,68739,119,80,59,0.72,2.5,80,302,C38,,
2017-05-11,000651,1,6825,19,0,0,0.07,3,1067,386,C38,,
2017-01-19,000651,1,136977,198,55,30,1.64,2.5,186,364,C38,,
2017-11-29,000651,1,7467,19,0,1,0.62,3,1104,330,C38,,
2017-12-06,000651,1,9461,17,14,2,1.35,2.5,79,374,C38,,
2017-12-09,000651,1,13804,27,19,9,4.87,4,3195,332,C38,,
