PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-06-13,600016,2,11488.5,29.5,13.5,4.5,2.75,3,633,394,J66,,
2017-07-21,600016,1,3799,7,5,2,6.38,3.5,448,344,J66,,
2017-06-01,600016,1,195003,383,91,58,2.79,3,259,375,J66,,
2017-05-25,600030,1,1206256,1298,1232,111,3.24,4,2,327,J67,,
2017-06-05,600030,2,173700.5,256.5,251.5,5,2.81,4.25,3811.5,165,J67,,
2017-07-19,600030,1,5363,14,2,10,0.25,3,1074,311,J67,,
2017-08-04,600030,1,34191,88,5,14,4.14,3.5,21,399,J67,,
2017-10-31,600030,2,4804.5,18,0,0,0.54,0,1057,345,J67,,
2017-11-06,600030,1,10843,14,2,3,4.4,4,8767,354,J67,,
2017-11-15,600030,1,7868,14,5,2,6.8,4.5,643,297,J67,,
2017-11-17,600030,1,5013,15,0,1,0.59,0,1057,345,J67,,
2017-11-22,600030,1,24788,30,9,6,0,2.5,23,342,J67,,
2017-11-23,600030,1,4649,3,0,3,7.4,3.5,482,316,J67,,
2017-11-29,600030,1,10269,31,1,2,0.62,3,1104,332,J67,,
2017-05-22,600030,1,1010462,1691,1131,121,3.62,3.5,85,328,J67,,
2017-05-06,600030,1,74659,191,71,17,0.87,3.5,1338,347,J67,,
2017-03-22,600030,1,97316,167,0,40,0.8,0,224,388,J67,,
2017-04-27,600030,1,154411,147,69,54,1.31,3.5,1197,330,J67,,
2017-03-05,600030,1,4191,3,1,0,1.75,3,247,342,J67,,
2017-11-15,600036,1,8496,15,6,3,6.8,4.5,643,297,J66,,
2017-11-22,600036,1,2099,1,0,0,4.24,2.5,102,334,J66,,
2017-05-23,600036,2,10097.5,21,5,1.5,0.51,3.25,1229,349,J66,,
2017-08-23,600036,1,2887,1,0,1,4.26,3,646,236,J66,,
2017-01-12,600036,1,15176,15,7,4,9.4,3.5,121,399,J66,,
2017-07-29,600061,1,52694,61,33,21,1.57,3.5,1197,330,J67,,
2017-12-10,600061,1,5298,12,2,0,0.79,1.5,41,386,J67,,
2017-05-06,600109,1,29990,102,59,26,0.87,3.5,1338,347,J67,,
2017-09-04,600109,1,50796,9,9,5,4.44,4,3686,0,J67,,
2017-01-06,600155,1,2261,2,2,0,1.62,3,1715,384,J67,,
2017-02-06,600291,1,4584,5,0,1,0.69,1,30,269,J68,,
2017-04-12,600291,1,8873,11,6,3,3.57,3,133,393,J68,,
2017-06-09,600291,1,10724,25,8,1,5.12,2.5,168,362,J68,,
2017-06-23,600291,2,15956.5,18,0,2,3.57,2.5,128,329,J68,,
2017-07-24,600291,1,10847,17,0,16,3.87,4,306,399,J68,,
2017-07-27,600291,1,12515,24,14,7,3.92,3.5,438,322,J68,,
2017-07-28,600291,1,5213,14,9,2,2.75,3,301,356,J68,,
2017-08-30,600291,1,37007,45,38,25,1.19,2.5,18,181,J68,,
2017-09-12,600291,1,42373,43,36,17,1.23,2.5,18,180,J68,,
2017-12-12,600318,1,11410,18,18,17,0.02,2,74,136,J69,,
2017-09-13,600318,1,45099,88,88,7,4.47,3.5,1558,0,J69,,
2017-12-25,600318,1,3790,2,2,0,0.69,2.5,75,165,J69,,
2017-11-20,600318,1,277235,361,0,25,3.55,2.5,18,374,J69,,
2017-04-28,600318,1,12695,23,10,0,1.09,0,31,27,J69,,
2017-12-13,600318,1,5760,2,1,11,0.09,2,157,109,J69,,
2017-03-20,600318,1,49637,10,10,6,3.98,3.5,1502,0,J69,,
2017-12-01,600369,1,95251,157,0,13,4.61,1,28,151,J67,,
2017-12-09,600369,1,56020,209,12,8,1.91,4,2170,365,J67,,
2017-12-21,600369,1,2974,5,3,1,6.54,3,2422,327,J67,,
2017-12-25,600369,2,239904,199,49,21,6.55,3,2412,346,J67,,
2017-07-26,600369,1,15958,45,19,22,4.12,4,8767,354,J67,,
2017-06-09,600369,1,129174,65,65,12,4.2,4,3495,0,J67,,
2017-05-23,600369,2,42668.5,95.5,18,47,5.96,3,2420,391,J67,,
2017-05-15,600369,1,4905,8,7,11,5.93,3,2422,387,J67,,
2017-05-11,600369,2,77860.5,50.5,21,30.5,3.64,3.25,1807.5,360.5,J67,,
2017-05-10,600369,2,71668.5,73.5,21.5,19.5,5.92,3,2420,391,J67,,
2017-05-09,600369,1,33765,22,22,10,4.12,4,3519,0,J67,,
2017-05-01,600369,1,17693,38,11,18,0.85,3.5,1338,347,J67,,
2017-04-27,600369,1,69217,79,36,19,1.31,2.5,1164,353,J67,,
2017-04-24,600369,1,23947,36,15,17,5.88,3,2418,391,J67,,
2017-03-17,600369,1,460085,1031,0,78,1.83,3.5,160,323,J67,,
2017-02-17,600369,1,181669,440,60,32,5.7,3,2418,391,J67,,
2017-03-02,600369,1,9732,29,10,3,5.73,3,2418,391,J67,,
2017-03-30,600369,1,38733,72,69,22,2.79,1.5,6,9,J67,,
2017-11-06,600369,1,53544,87,36,12,6.41,3,2418,391,J67,,
2017-06-05,600390,2,5926,7,5.5,4,2.06,3,404,308,J69,,
2017-09-11,600390,1,936,5,3,0,1.1,2,107,329,J69,,
2017-04-10,600390,1,3216,1,0,0,2.61,1,43,23,J69,,
2017-11-29,600621,1,17069,26,15,1,4.85,3.5,2030,0,J67,,
2017-11-01,600621,1,57754,31,31,8,4.6,3,186,0,J67,,
2017-06-23,600621,1,3712,3,3,3,1.56,1,39,126,J67,,
2017-07-04,600621,1,14602,2,2,4,2.69,2,156,120,J67,,
2017-09-06,600621,1,25637,21,20,15,6.41,2.5,458,295,J67,,
2017-03-20,600621,1,188584,26,25,17,3.98,3,192,0,J67,,
2017-03-13,600621,1,1391,1,1,0,3.65,3.5,6598,369,J67,,
2017-03-10,600621,1,1849,4,2,0,3.64,3.5,6801,328,J67,,
2017-03-07,600621,1,1386,2,2,0,3.64,3.5,6801,328,J67,,
2017-03-06,600621,1,1449,2,2,1,3.63,3.5,6801,328,J67,,
2017-01-24,600621,1,134471,29,26,9,3.83,3,301,0,J67,,
2017-03-09,600621,1,1410,1,1,1,3.64,3.5,6801,328,J67,,
2017-01-24,600643,1,33154,9,8,2,3.83,4,2903,0,J69,,
2017-06-07,600643,1,3612,3,3,1,1.64,2,91,124,J69,,
2017-11-20,600695,1,33273,26,26,19,4.65,3,1495,0,J67,,
2017-06-04,600705,1,23655,46,19,15,0.95,3.5,1338,347,J69,,
2017-09-13,600705,1,20519,39,14,28,0.55,2,65,303,J69,,
2017-09-03,600705,1,112208,126,65,22,10.82,3.5,60,372,J69,,
2017-11-17,600816,1,12434,24,0,4,0.59,0,1057,345,J69,,
2017-11-16,600816,2,1272.5,2,1,0,2.72,0.5,2,79,J69,,
2017-12-06,600837,1,22030,34,16,19,0.99,2,93,334,J67,,
2017-12-14,600908,1,5080,4,0,0,7.05,3.5,753,375,J66,,
2017-05-01,600909,1,39354,93,28,14,0.85,3.5,1338,347,J67,,
2017-10-11,600919,1,4387,4,0,0,7.47,1.5,54,172,J66,,
2017-10-13,600919,1,1315,1,1,4,2.68,2.5,145,300,J66,,
2017-10-16,600919,1,1632,5,3,1,3.02,0,40,156,J66,,
2017-12-03,600919,1,55029,130,0,9,2.59,3.5,440,356,J66,,
2017-12-16,600919,1,16521,27,8,11,0.62,3.5,1934,348,J66,,
2017-12-26,600919,1,520507,855,855,33,2.6,2,216,377,J66,,
2017-12-21,600926,1,71423,452,360,22,2.67,0.5,140,379,J66,,
2017-12-22,600926,2,12494.5,23,4,4,6.08,2.5,601.5,347.5,J66,,
2017-11-26,600926,1,194176,270,0,24,0.86,1.5,11,334,J66,,
2017-05-16,600926,1,10180,20,6,3,0.9,3.5,1338,347,J66,,
2017-08-15,600926,1,33262,19,19,4,2.3,3.5,792,0,J66,,
2017-10-23,600926,1,17225,27,11,2,2.8,3,95,345,J66,,
2017-03-14,600926,1,6954,13,9,1,3.55,3.5,565,387,J66,,
2017-09-22,600958,1,13656,8,0,1,2.06,3.5,2045,383,J67,,
2017-12-29,600958,2,31880.5,12.5,12.5,2,2.83,4,1913,0,J67,,
2017-06-26,600958,1,8291,10,3,1,7.31,2.5,174,357,J67,,
2017-05-11,600958,1,115152,62,26,24,1.35,3.5,1197,330,J67,,
2017-07-26,600999,1,14297,20,20,6,0.1,3,246,328,J67,,
2017-12-08,600999,1,56211,192,5,11,1.91,4,2168,173,J67,,
2017-05-10,600999,1,126389,73,22,44,1.35,3.5,1197,330,J67,,
2017-09-22,601009,1,15036,10,0,1,2.06,3.5,2045,383,J66,,
2017-04-24,601009,1,9568,54,34,1,0.47,3,373,395,J66,,
2017-07-05,601009,1,12581,18,18,4,1.84,3.5,2060,286,J66,,
2017-07-15,601009,1,41555,58,48,15,4.36,3.5,119,301,J66,,
2017-09-09,601009,1,4261,11,9,0,10.15,3.5,3456,366,J66,,
2017-05-11,601099,1,116153,73,33,43,1.35,3.5,1197,330,J67,,
2017-05-07,601099,1,65525,31,25,17,0.62,1.5,146,284,J67,,
2017-05-05,601099,1,953,0,0,0,0.05,2.5,31,38,J67,,
2017-03-17,601099,1,59101,88,46,31,1.36,2.5,922,354,J67,,
2017-03-01,601099,1,189722,313,267,41,3.93,4,3712,0,J67,,
2017-12-17,601099,1,32325,27,28,4,3.35,1,14,9,J67,,
2017-07-28,601099,1,42996,86,28,38,3.22,3.5,76,321,J67,,
2017-11-01,601108,1,550,1,1,0,2.17,3,5310,349,J67,,
2017-11-07,601108,1,34434,77,65,9,0.53,0,1617,113,J67,,
2017-11-08,601108,3,21027.67,31.67,15.33,5.67,4.79,3.5,2030,0,J67,,
2017-11-12,601108,1,7880,19,15,4,4.8,3.5,2030,0,J67,,
2017-11-20,601108,1,8804,6,6,0,0.15,1.5,55,0,J67,,
2017-11-24,601108,3,8206.33,14.67,8,0,4.84,3.5,2030,0,J67,,
2017-11-27,601108,18,12064.67,17.5,7.61,0.89,4.84,3.5,2030,0,J67,,
2017-11-28,601108,14,9463.29,19.07,7.79,0.57,4.85,3.5,2030,0,J67,,
2017-11-29,601108,36,11797.5,19.44,9.28,0.53,4.85,3.5,2030,0,J67,,
2017-12-04,601108,37,5397.05,11.35,4.95,0.19,0.6,1.17,1617,113,J67,,
2017-12-15,601108,1,2506,6,3,0,5.55,3.5,240,376,J67,,
2017-10-26,601108,1,389852,201,201,73,1.95,3,420,0,J67,,
2017-10-31,601108,2,6313,14.5,7,0,0.51,0,1617,113,J67,,
2017-10-24,601108,1,26634,73,1,1,0.25,1,5,323,J67,,
2017-12-30,601128,1,11156,10,0,3,1.87,1,7,172,J66,,
2017-12-29,601166,1,77670,127,114,38,9.89,4,81,328,J66,,
2017-12-08,601166,1,8933,11,4,1,10.86,3,42,321,J66,,
2017-08-27,601166,1,8979,21,0,3,0.36,0,1057,345,J66,,
2017-11-03,601169,1,2166,1,0,0,0.16,2,123,330,J66,,
2017-12-20,601169,1,132982,23,15,1,6.79,3.5,632,319,J66,,
2017-06-20,601169,1,6643,4,0,5,3.91,3.5,1243,316,J66,,
2017-04-21,601198,1,17128,103,102,1,1.78,2,160,266,J67,,
2017-05-11,601198,1,123072,83,34,29,1.35,3.5,1197,330,J67,,
2017-09-08,601198,1,23029,15,11,4,2.24,2.5,90,333,J67,,
2017-12-07,601211,1,3282,2,1,0,3.48,1.5,16,333,J67,,
2017-11-27,601211,1,10417,25,0,2,0.61,3,1067,324,J67,,
2017-11-17,601211,1,6408,15,1,1,0.59,0,1057,319,J67,,
2017-08-27,601211,1,11399,26,0,6,0.36,0,1057,345,J67,,
2017-12-30,601229,1,153092,63,38,18,2.56,2.5,321,358,J66,,
2017-08-30,601229,1,76110,8,0,4,2.34,3.5,997,0,J66,,
2017-02-13,601229,1,15241,1,0,2,1.79,3.5,997,0,J66,,
2017-06-01,601229,1,21153,78,50,6,0.94,3.5,1338,347,J66,,
2017-10-05,601288,1,42662,70,42,7,1.29,1.5,588,390,J66,,
2017-10-23,601288,1,149634,281,10,8,4.34,4,288,314,J66,,
2017-10-27,601288,1,6091185,13903,2185,151,2.64,3.5,305,330,J66,,
2017-11-28,601288,1,28429,29,22,20,4.46,3,144,339,J66,,
