PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-11-30,000532,1,11542,2,2,7,4.68,3.5,1883,0,S90,,
2017-02-20,000533,1,57,0,0,0,0.01,2.5,532,122,C38,,
2017-05-07,000536,1,31670,9,0,5,4.11,3.5,2687,0,C39,,
2017-05-31,000536,1,7810,9,9,11,5.19,3.5,1784,376,C39,,
2017-03-21,000536,1,4303,2,1,1,5,3.5,1784,376,C39,,
2017-05-18,000538,1,12876,23,1,4,0.08,3,1118,382,C27,,
2017-11-26,000540,1,14636,17,0,4,2.03,2.5,252,327,K70,,
2017-07-26,000540,2,89997.5,103,75,60,2.91,4,217,311,K70,,
2017-09-01,000540,2,307468.5,381.5,0,56.5,1.71,2.75,101,181,K70,,
2017-11-03,000540,1,99443,100,0,21,1.38,1,14,191,K70,,
2017-10-26,000550,1,55732,158,8,5,1.95,2.5,81,381,C36,,
2017-09-12,000553,1,1824,1,1,2,2.42,1.5,7,188,C26,,
2017-12-02,000555,1,74789,57,27,10,0.79,0,39,383,I65,,
2017-03-23,000555,1,16449,19,17,4,1.62,2,219,187,I65,,
2017-12-21,000555,1,4700,16,4,2,3.35,3.5,5841,389,I65,,
2017-12-15,000555,1,10841,20,5,10,3.33,3.5,5841,389,I65,,
2017-02-06,000557,1,119818,199,94,20,1.93,3,145,303,G53,,
2017-11-28,000565,1,8076,7,7,3,0.25,1,2,72,C26,,
2017-05-23,000568,1,11362,22,1,1,0.1,3,1118,374,C15,,
2017-08-01,000568,1,5532,9,7,3,3.93,3.5,513,337,C15,,
2017-05-30,000568,1,40459,47,25,26,3.3,4,48,346,C15,,
2017-11-20,000571,1,15769,41,6,10,7.22,3.5,386,365,S90,,
2017-09-21,000571,1,10993,20,7,4,7.05,3.5,386,365,S90,,
2017-12-16,000571,1,28341,59,21,17,7.29,3.5,386,365,S90,,
2017-08-02,000571,2,13,0,0,0,4.35,3.5,847,0,S90,,
2017-11-21,000572,1,3119,7,0,0,0.01,1.5,52,92,C36,,
