Stkcd,Accper,Typrep,Indcd
002098,2020-12-31,A,C41
002099,2020-12-31,A,C27
002100,2020-12-31,A,C13
002101,2020-12-31,A,C36
002102,2020-12-31,A,C27
002103,2020-12-31,A,L72
002104,2020-12-31,A,C39
002105,2020-12-31,A,C37
002106,2020-12-31,A,C39
002107,2020-12-31,A,C27
002108,2020-12-31,A,C29
002109,2020-12-31,A,C26
002110,2020-12-31,A,C31
002111,2020-12-31,A,C35
002112,2020-12-31,A,C38
002113,2020-12-31,A,I64
002114,2020-12-31,A,C32
002115,2020-12-31,A,C39
002116,2020-12-31,A,E48
002117,2020-12-31,A,C23
002118,2020-12-31,A,C27
002119,2020-12-31,A,C39
002120,2020-12-31,A,G60
002121,2020-12-31,A,C40
002122,2020-12-31,A,C34
002123,2020-12-31,A,I65
002124,2020-12-31,A,C13
002125,2020-12-31,A,C26
002126,2020-12-31,A,C36
002127,2020-12-31,A,L72
002128,2020-12-31,A,B06
002129,2020-12-31,A,C38
002130,2020-12-31,A,C39
002131,2020-12-31,A,I64
002132,2020-12-31,A,C33
002133,2020-12-31,A,K70
002134,2020-12-31,A,C39
002135,2020-12-31,A,C33
002136,2020-12-31,A,C26
002137,2020-12-31,A,C39
002138,2020-12-31,A,C39
002139,2020-12-31,A,C38
002140,2020-12-31,A,E48
002141,2020-12-31,A,C38
002142,2020-12-31,A,J66
002144,2020-12-31,A,C17
002145,2020-12-31,A,C26
002146,2020-12-31,A,K70
002147,2020-12-31,A,K70
002148,2020-12-31,A,I65
002149,2020-12-31,A,C32
002150,2020-12-31,A,C33
002151,2020-12-31,A,C39
002152,2020-12-31,A,C34
002153,2020-12-31,A,I65
002154,2020-12-31,A,C18
002155,2020-12-31,A,B09
002156,2020-12-31,A,C39
002157,2020-12-31,A,C13
002158,2020-12-31,A,C34
002159,2020-12-31,A,N78
002160,2020-12-31,A,C32
002161,2020-12-31,A,C39
002162,2020-12-31,A,C30
002163,2020-12-31,A,E50
002164,2020-12-31,A,C35
002165,2020-12-31,A,C26
002166,2020-12-31,A,C27
002167,2020-12-31,A,C32
002168,2020-12-31,A,I64
002169,2020-12-31,A,C38
002170,2020-12-31,A,C26
002171,2020-12-31,A,C32
002172,2020-12-31,A,C28
002173,2020-12-31,A,Q83
002174,2020-12-31,A,I64
002175,2020-12-31,A,C40
002176,2020-12-31,A,C38
002177,2020-12-31,A,C35
002178,2020-12-31,A,M74
002179,2020-12-31,A,C39
002180,2020-12-31,A,C39
002181,2020-12-31,A,L72
002182,2020-12-31,A,C32
002183,2020-12-31,A,L72
002184,2020-12-31,A,C38
002185,2020-12-31,A,C39
002186,2020-12-31,A,H62
002187,2020-12-31,A,F52
002188,2020-12-31,A,L72
002189,2020-12-31,A,C39
002190,2020-12-31,A,C36
002191,2020-12-31,A,C23
002192,2020-12-31,A,C39
002193,2020-12-31,A,C17
002194,2020-12-31,A,C39
002195,2020-12-31,A,I65
002196,2020-12-31,A,C35
002197,2020-12-31,A,C34
